country,state,year,percentage_of_households_with_source_of_drinking_water_uompercentage_scaling_factor1,revenue_earned_uominrindianrupees_scaling_factor10000000,annual_urban_population_at_mid_year_uomnumber_scaling_factor1000,weighted_average_own_revenue_uominrindianrupees_scaling_factor10000000,revenue_uominrindianrupees_scaling_factor10000000,percentage_of_households_uompercentage_scaling_factor1
IND,Andaman and Nicobar Islands,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
IND,Andaman and Nicobar Islands,2001,97.8,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,62.08
IND,Andaman and Nicobar Islands,2002,98.1,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,2.88
IND,Andaman and Nicobar Islands,2008,98.1,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,2.88
IND,Andaman and Nicobar Islands,2011,98.1,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,76.52
IND,Andaman and Nicobar Islands,2012,86.23233004632054,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,1.29
IND,Andaman and Nicobar Islands,2015,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.29
IND,Andaman and Nicobar Islands,2016,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.29
IND,Andaman and Nicobar Islands,2017,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.29
IND,Andaman and Nicobar Islands,2018,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.29
IND,Andaman and Nicobar Islands,2019,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.29
IND,Andaman and Nicobar Islands,2020,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.29
IND,Andaman and Nicobar Islands,2021,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.29
IND,Andaman and Nicobar Islands,2022,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.29
IND,Andhra Pradesh,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
IND,Andhra Pradesh,2001,90.2,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,71.92
IND,Andhra Pradesh,2002,94.5,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,2.21
IND,Andhra Pradesh,2008,94.5,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,2.21
IND,Andhra Pradesh,2011,94.5,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,78.95
IND,Andhra Pradesh,2012,86.23233004632054,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,1.48
IND,Andhra Pradesh,2015,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.48
IND,Andhra Pradesh,2016,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.48
IND,Andhra Pradesh,2017,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.48
IND,Andhra Pradesh,2018,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.48
IND,Andhra Pradesh,2019,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.48
IND,Andhra Pradesh,2020,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.48
IND,Andhra Pradesh,2021,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.48
IND,Andhra Pradesh,2022,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.48
IND,Arunachal Pradesh,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
IND,Arunachal Pradesh,2001,90.7,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,56.31
IND,Arunachal Pradesh,2002,91.3,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.59
IND,Arunachal Pradesh,2008,91.3,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.59
IND,Arunachal Pradesh,2011,91.3,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,58.52
IND,Arunachal Pradesh,2012,86.23233004632054,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,2.8
IND,Arunachal Pradesh,2015,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.8
IND,Arunachal Pradesh,2016,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.8
IND,Arunachal Pradesh,2017,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.8
IND,Arunachal Pradesh,2018,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.8
IND,Arunachal Pradesh,2019,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.8
IND,Arunachal Pradesh,2020,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.8
IND,Arunachal Pradesh,2021,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.8
IND,Arunachal Pradesh,2022,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.8
IND,Assam,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
IND,Assam,2001,70.4,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,51.98
IND,Assam,2002,78.2,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,6.53
IND,Assam,2008,78.2,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,6.53
IND,Assam,2011,78.2,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,58.92
IND,Assam,2012,86.23233004632054,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,5.66
IND,Assam,2015,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,5.66
IND,Assam,2016,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,5.66
IND,Assam,2017,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,5.66
IND,Assam,2018,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,5.66
IND,Assam,2019,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,5.66
IND,Assam,2020,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,5.66
IND,Assam,2021,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,5.66
IND,Assam,2022,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,5.66
IND,Bihar,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
IND,Bihar,2001,91.2,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,54.22
IND,Bihar,2002,94.7,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,8.03
IND,Bihar,2008,94.7,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,8.03
IND,Bihar,2011,94.7,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,53.05
IND,Bihar,2012,86.23233004632054,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,6.91
IND,Bihar,2015,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,6.91
IND,Bihar,2016,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,6.91
IND,Bihar,2017,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,6.91
IND,Bihar,2018,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,6.91
IND,Bihar,2019,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,6.91
IND,Bihar,2020,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,6.91
IND,Bihar,2021,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,6.91
IND,Bihar,2022,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,6.91
IND,Chandigarh,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
IND,Chandigarh,2001,99.8,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,69.72
IND,Chandigarh,2002,99.4,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,2.8
IND,Chandigarh,2008,99.4,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,2.8
IND,Chandigarh,2011,99.4,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,69.86
IND,Chandigarh,2012,86.23233004632054,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,3.53
IND,Chandigarh,2015,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,3.53
IND,Chandigarh,2016,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,3.53
IND,Chandigarh,2017,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,3.53
IND,Chandigarh,2018,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,3.53
IND,Chandigarh,2019,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,3.53
IND,Chandigarh,2020,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,3.53
IND,Chandigarh,2021,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,3.53
IND,Chandigarh,2022,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,3.53
IND,Chhattisgarh,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
IND,Chhattisgarh,2001,88.8,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,60.16
IND,Chhattisgarh,2002,93.9,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,2.82
IND,Chhattisgarh,2008,93.9,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,2.82
IND,Chhattisgarh,2011,93.9,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,64.24
IND,Chhattisgarh,2012,86.23233004632054,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,2.64
IND,Chhattisgarh,2015,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.64
IND,Chhattisgarh,2016,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.64
IND,Chhattisgarh,2017,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.64
IND,Chhattisgarh,2018,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.64
IND,Chhattisgarh,2019,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.64
IND,Chhattisgarh,2020,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.64
IND,Chhattisgarh,2021,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.64
IND,Chhattisgarh,2022,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,2.64
IND,Dadra and Nagar Haveli and Daman & Diu,2015,86.20254846296893,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,4.501115679873983
IND,Dadra and Nagar Haveli and Daman & Diu,2016,86.20254846296893,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,4.501115679873983
IND,Dadra and Nagar Haveli and Daman & Diu,2017,86.20254846296893,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,4.501115679873983
IND,Dadra and Nagar Haveli and Daman & Diu,2018,86.20254846296893,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,4.501115679873983
IND,Dadra and Nagar Haveli and Daman & Diu,2019,86.20254846296893,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,4.501115679873983
IND,Dadra and Nagar Haveli and Daman & Diu,2020,86.20254846296893,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,4.501115679873983
IND,Dadra and Nagar Haveli and Daman & Diu,2021,86.20254846296893,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,4.501115679873983
IND,Dadra and Nagar Haveli and Daman & Diu,2022,86.20254846296893,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,4.501115679873983
IND,Delhi,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
IND,Delhi,2001,97.7,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,58.94
IND,Delhi,2002,95.2,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,5.41
IND,Delhi,2008,95.2,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,5.41
IND,Delhi,2011,95.2,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,66.02
IND,Delhi,2012,86.23233004632054,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,2.77
IND,Goa,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
IND,Goa,2001,82.1,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,68.53
IND,Goa,2002,90.4,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,3.98
IND,Goa,2008,90.4,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,3.98
IND,Goa,2011,90.4,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,76.89
IND,Goa,2012,86.23233004632054,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,1.31
IND,Goa,2015,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.31
IND,Goa,2016,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.31
IND,Goa,2017,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.31
IND,Goa,2018,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.31
IND,Goa,2019,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.31
IND,Goa,2020,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.31
IND,Goa,2021,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.31
IND,Goa,2022,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.31
IND,Gujarat,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
IND,Gujarat,2001,95.4,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,67.25
IND,Gujarat,2002,97.0,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,1.94
IND,Gujarat,2008,97.0,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,1.94
IND,Gujarat,2011,97.0,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,76.52
IND,Gujarat,2012,86.23233004632054,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,0.86
IND,Gujarat,2015,86.23233004632054,56.963944562899776,2245353.3671399592,1671.0,12633.865217391305,0.86
IND,Gujarat,2016,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,0.86
IND,Gujarat,2017,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,0.86
IND,Gujarat,2018,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,0.86
IND,Gujarat,2019,86.23233004632054,56.963944562899776,2245353.3671399592,2222.0,12633.865217391305,0.86
IND,Gujarat,2020,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,0.86
IND,Gujarat,2021,86.23233004632054,56.963944562899776,2245353.3671399592,2505.0,12633.865217391305,0.86
IND,Gujarat,2022,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,0.86
IND,Haryana,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
IND,Haryana,2001,97.3,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,58.64
IND,Haryana,2002,96.7,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,3.87
IND,Haryana,2008,96.7,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,3.87
IND,Haryana,2011,96.7,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,62.92
IND,Haryana,2012,86.23233004632054,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,3.38
IND,Haryana,2015,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,3.38
IND,Haryana,2016,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,3.38
IND,Haryana,2017,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,3.38
IND,Haryana,2018,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,3.38
IND,Haryana,2019,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,3.38
IND,Haryana,2020,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,3.38
IND,Haryana,2021,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,3.38
IND,Haryana,2022,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,3.38
IND,Himachal Pradesh,1991,86.20254846296893,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,4.501115679873983
IND,Himachal Pradesh,2001,97.0,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,73.28
IND,Himachal Pradesh,2002,97.8,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,2.78
IND,Himachal Pradesh,2008,97.8,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,2.78
IND,Himachal Pradesh,2011,97.8,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,80.12
IND,Himachal Pradesh,2012,86.23233004632054,56.963944562899776,2245353.3671399592,587.0241050119332,12633.865217391305,1.41
IND,Himachal Pradesh,2015,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.41
IND,Himachal Pradesh,2016,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.41
IND,Himachal Pradesh,2017,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.41
IND,Himachal Pradesh,2018,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.41
IND,Himachal Pradesh,2019,86.23233004632054,56.963944562899776,2245353.3671399592,0.0,12633.865217391305,1.41
