file,columns,time_column,min_year,max_year
sathwiksalian1515_17708937227755284.csv,"Country; State; Year; Type Of Crime; Scheduled Tribe (St) Population (UOM:Number), Scaling Factor:100000; Rate Of Crime (UOM:Ratio), Scaling Factor:1; Incidence Of Crime (UOM:Ratio), Scaling Factor:1; Percentage Contribution To All India (UOM:%(Percentage)), Scaling Factor:1",Year,2012,2012
sathwiksalian1515_1770893740441886.csv,"Country; Year; States Or Union Territories (Uts) Or Other; Incidence (UOM:Number), Scaling Factor:1; Percentage Contribution To All India Total (UOM:%(Percentage)), Scaling Factor:1; Scheduled Tribes (Sts) Population (UOM:Number), Scaling Factor:100000; Rate Of Total Cognizable Crimes (UOM:Ratio), Scaling Factor:1",Year,2012,2012
sathwiksalian1515_17708937592866747.csv,"Country; State; Year; Additional Information; Number Of Crimes Or Atrocities (UOM:Number), Scaling Factor:1; Rate Of Total Crime Against Scheduled Tribes(Sts) (UOM:Ratio), Scaling Factor:1; Charge Sheeting Rate (UOM:Ratio), Scaling Factor:1; Number Of Population (UOM:Number), Scaling Factor:100000; Total Rate Of Cognizable Crimes (UOM:Ratio), Scaling Factor:1",Year,2014,2022
sathwiksalian1515_1770893768600447.csv,"Country; Year; Crime Head; Percentage Of Cases Withdrawn By Government (UOM:%(Percentage)), Scaling Factor:1; Percentage Of Cases Compounded Or Withdrawn (UOM:%(Percentage)), Scaling Factor:1; Percentage Of Cases In Which Trials Completed Convicted (UOM:%(Percentage)), Scaling Factor:1; Percentage Of Cases In Which Trials Completed Acquitted Or Discharged (UOM:%(Percentage)), Scaling Factor:1; Percentage Of Cases Pending Trial At The End Of The Year (UOM:%(Percentage)), Scaling Factor:1; Conviction Rate (UOM:Ratio), Scaling Factor:1",Year,2012,2012
sathwiksalian1515_17708937834479353.csv,"Country; State; Year; Social Category; Number Of Cases Pending From Previous Year (UOM:Number), Scaling Factor:1; Number Of Cases Registered During The Year (UOM:Number), Scaling Factor:1; Number Of Cases Reopened For Investigation (UOM:Number), Scaling Factor:1; Number Of Cases With Police During The Year Including Brought Forward Cases (Bf) (UOM:Number), Scaling Factor:1; Number Of Cases Withdrawn By The Government During Investigation (UOM:Number), Scaling Factor:1; Number Of Cases Not Investigated Or In Which Investigation Was Refused (UOM:Number), Scaling Factor:1; Number Of Cases Transferred To Other State Or Agency (UOM:Number), Scaling Factor:1; Number Of Cases In Which Charge Sheets Were Not Laid But Final Report As True Submitted During The Year (UOM:Number), Scaling Factor:1; Number Of Cases Charge Sheeted  (UOM:Number), Scaling Factor:1; Number Of Cases Quashed By The Court At Investigation (UOM:Number), Scaling Factor:1; Number Of Cases Pending With Police At The End Of The Year (UOM:Number), Scaling Factor:1; Number Of Cases Closed By Police After Investigation (UOM:Number), Scaling Factor:1",Year,2012,2020
sathwiksalian1515_17708937963474379.csv,"Country; State; Year; Comments; Number Of Cases Registered On Scheduled Caste (Sc) During The Year (UOM:Number), Scaling Factor:1; Number Of Cases Registered On Scheduled Tribe (St) During The Year (UOM:Number), Scaling Factor:1; Total Number Of Cases Registered During The Year (Sc+St) (UOM:Number), Scaling Factor:1; Scheduled Caste (Sc) Population As Per 2011 Census  (UOM:Number), Scaling Factor:100000; Scheduled Caste (Sc) Population Percentage To Total Population As Per 2011 Census  (UOM:%(Percentage)), Scaling Factor:1; Scheduled Tribe (St) Population As Per 2011 Census (UOM:Number), Scaling Factor:100000; Scheduled Tribe (St) Population Percentage To Total Population As Per 2011 Census  (UOM:%(Percentage)), Scaling Factor:1; Number Of Cases Registered On Scheduled Caste (Sc) Per Lakh Population As Per 2011 Census (UOM:Number), Scaling Factor:1; Number Of Cases Registered On Scheduled Tribe (St) Per Lakh Population As Per 2011 Census (UOM:Number), Scaling Factor:1",Year,2012,2020
sathwiksalian1515_1770894258175999.csv,"Country; Year; State Or All India; Category; Additional Information; Poverty Ratios (UOM:%(Percentage)), Scaling Factor:1",Year,1993,2004
sathwiksalian1515_17708942763616834.csv,"Country; State; Year; Type Of Area; Percentage Of Scheduled Tribe (St) Population Below Poverty Line (UOM:%(Percentage)), Scaling Factor:1",Year,2009,2011
sathwiksalian1515_17708942967869503.csv,"Country; Year; Caste/Tribe; Additional Information; Percentage Of Households Covered By A Health Scheme (UOM:%(Percentage)), Scaling Factor:1; Number Of Households (UOM:Number), Scaling Factor:1; Percentage Of Households Covered By A Health Scheme Or Health Insurance (UOM:%(Percentage)), Scaling Factor:1; Percentage Of Households Covered By The Central Government Health Scheme (Cghs) (UOM:%(Percentage)), Scaling Factor:1; Percentage Of Households Covered By The Community Health Insurance Programme (UOM:%(Percentage)), Scaling Factor:1; Percentage Of Households Covered By Other Health Insurance Through Employer (UOM:%(Percentage)), Scaling Factor:1; Percentage Of Households Covered By Medical Reimbursement From Employer (UOM:%(Percentage)), Scaling Factor:1; Percentage Of Households Covered By Other Privately Purchased Commercial Health Insurance (UOM:%(Percentage)), Scaling Factor:1; Percentage Of Households Covered Under Other Health Insurance Plans (UOM:%(Percentage)), Scaling Factor:1; Percentage Of Households With Missing Health Insurance Coverage (UOM:%(Percentage)), Scaling Factor:1; Number Of Households Covered By Health Insurance Coverage (UOM:Number), Scaling Factor:1",Year,2005,2005
sathwiksalian1515_1770894305555709.csv,"Country; Year; Social Groups; Percentage Of Households Covered By A Health Scheme Or Health Insurance (UOM:%(Percentage)), Scaling Factor:1; Percentage Of Problem In Accessing Medical Advice Or Treatment Due To Distance To Health Facility (UOM:%(Percentage)), Scaling Factor:1; Percentage Of Problem In Accessing Medical Advice Or Treatment Due To Concern About Drug Availability (UOM:%(Percentage)), Scaling Factor:1; Percentage Of Problem In Accessing Medical Advice Or Treatment With At Least One Problem In Accessing Health Care (UOM:%(Percentage)), Scaling Factor:1",Year,2005,2005
sathwiksalian1515_1770894338777049.csv,"Country; State; Year; Comments; Central Assistance Amount Released For Incentive Under Relief To Atrocity Victims (UOM:INR(IndianRupees)), Scaling Factor:100000; Number Of Persons Covered Under The Central Assistance Scheme (UOM:Number), Scaling Factor:1",Year,2011,2022
